Review,predicted_sentiment,Rate,tokens,filtered_tokens,lemmas
super!,positive,5,"['super', '!']",['super'],['super']
awesome,positive,5,['awesome'],['awesome'],['awesome']
fair,positive,3,['fair'],['fair'],['fair']
useless product,negative,1,"['useless', 'product']","['useless', 'product']","['useless', 'product']"
fair,neutral,3,['fair'],['fair'],['fair']
awesome,positive,5,['awesome'],['awesome'],['awesome']
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
nice,positive,3,['nice'],['nice'],['nice']
unsatisfactory,negative,1,['unsatisfactory'],['unsatisfactory'],['unsatisfactory']
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
great product,positive,5,"['great', 'product']","['great', 'product']","['great', 'product']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
brilliant,positive,5,['brilliant'],['brilliant'],['brilliant']
classy product,positive,5,"['classy', 'product']","['classy', 'product']","['classy', 'product']"
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
super!,positive,5,"['super', '!']",['super'],['super']
great product,positive,5,"['great', 'product']","['great', 'product']","['great', 'product']"
awesome,positive,5,['awesome'],['awesome'],['awesome']
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
just wow!,positive,5,"['just', 'wow', '!']",['wow'],['wow']
awesome,positive,5,['awesome'],['awesome'],['awesome']
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
excellent,positive,5,['excellent'],['excellent'],['excellent']
